
starting calculations for phase 1
-0.4000000000, 1.0000000000, Maximum iterations reached in field optimization, time: 14
-0.3900000000, 1.0000000000, Maximum iterations reached in field optimization, time: 22
-0.3800000000, 1.0000000000, Maximum iterations reached in field optimization, time: 12
-0.3700000000, 1.0000000000, Maximum iterations reached in field optimization, time: 23
-0.3600000000, 1.0000000000, Maximum iterations reached in field optimization, time: 19
-0.3500000000, 1.0000000000, Maximum iterations reached in field optimization, time: 7
-0.3400000000, 1.0000000000, Maximum iterations reached in field optimization, time: 16
-0.3300000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3200000000, 1.0000000000, Maximum iterations reached in field optimization, time: 4
-0.3100000000, 1.0000000000, Maximum iterations reached in field optimization, time: 4
-0.3000000000, 1.0000000000, maximum iterations reached, time: 37
-0.2900000000, 1.0000000000, maximum iterations reached, time: 30
0.1700000000, 1.0000000000, 0.0000000021, 1, time: 0
0.1800000000, 1.0000000000, 0.0000000021, 1, time: 0
0.1900000000, 1.0000000000, 0.0000000021, 1, time: 0
0.2000000000, 1.0000000000, 0.0000000021, 1, time: 0

starting calculations for phase 4
-0.1000000000, 1.0000000000, -0.1126217017, 4, time: 11
-0.1100000000, 1.0000000000, -0.1192267667, 3, time: 4
-0.1200000000, 1.0000000000, -0.1259986568, 3, time: 4
-0.1300000000, 1.0000000000, -0.1329376373, 3, time: 4
-0.1400000000, 1.0000000000, -0.1400439930, 3, time: 3
-0.1500000000, 1.0000000000, -0.1473180243, 3, time: 4
-0.1600000000, 1.0000000000, -0.1547600460, 3, time: 4
-0.1700000000, 1.0000000000, -0.1623703870, 3, time: 4
-0.1800000000, 1.0000000000, -0.1701493869, 3, time: 4
-0.1900000000, 1.0000000000, -0.1780973943, 3, time: 4
-0.2000000000, 1.0000000000, -0.1862147708, 3, time: 4
-0.2100000000, 1.0000000000, -0.1945018811, 4, time: 4
-0.2200000000, 1.0000000000, -0.2029590987, 3, time: 4
-0.2300000000, 1.0000000000, -0.2115868041, 3, time: 4
-0.2400000000, 1.0000000000, -0.2203853817, 3, time: 4
-0.2500000000, 1.0000000000, -0.2293552234, 4, time: 4
-0.2600000000, 1.0000000000, -0.2384967205, 4, time: 4
-0.2700000000, 1.0000000000, -0.2478102708, 6, time: 16
-0.2800000000, 1.0000000000, -0.2572962722, 8, time: 47
-0.2900000000, 1.0000000000, -0.2669551351, 3, time: 4
-0.3000000000, 1.0000000000, -0.2767872551, 5, time: 5
-0.3100000000, 1.0000000000, -0.2867930347, 3, time: 29
-0.3200000000, 1.0000000000, -0.2969729039, 3, time: 4
-0.3300000000, 1.0000000000, -0.3073272483, 3, time: 4
-0.3400000000, 1.0000000000, -0.3178564882, 3, time: 4
-0.3500000000, 1.0000000000, -0.3285610222, 3, time: 4
-0.3600000000, 1.0000000000, -0.3394412701, 3, time: 4
-0.3700000000, 1.0000000000, -0.3504976493, 4, time: 9
-0.3800000000, 1.0000000000, -0.3617305501, 3, time: 4
-0.3900000000, 1.0000000000, -0.3731403946, 5, time: 5

starting calculations for phase 4
-0.1000000000, 1.0000000000, -0.1126217017, 4, time: 11
-0.0900000000, 1.0000000000, -0.1061832163, 3, time: 3
-0.0800000000, 1.0000000000, -0.0999110943, 2, time: 3
-0.0700000000, 1.0000000000, -0.0938051431, 2, time: 3
-0.0600000000, 1.0000000000, -0.0878651950, 3, time: 3
-0.0500000000, 1.0000000000, -0.0820911246, 2, time: 2
-0.0400000000, 1.0000000000, -0.0764828424, 2, time: 3
-0.0300000000, 1.0000000000, -0.0710403165, 2, time: 2
-0.0200000000, 1.0000000000, -0.0657635468, 3, time: 3
-0.0100000000, 1.0000000000, -0.0606526091, 3, time: 3
0.0000000000, 1.0000000000, -0.0557076444, 3, time: 3
0.0100000000, 1.0000000000, -0.0509288754, 3, time: 3
0.0200000000, 1.0000000000, -0.0463166201, 3, time: 4
0.0300000000, 1.0000000000, -0.0418713085, 3, time: 4
0.0400000000, 1.0000000000, -0.0375935060, 3, time: 4
0.0500000000, 1.0000000000, -0.0334839337, 3, time: 4
0.0600000000, 1.0000000000, -0.0295435088, 3, time: 4
0.0700000000, 1.0000000000, -0.0257733845, 3, time: 4
0.0800000000, 1.0000000000, -0.0221750060, 3, time: 4
0.0900000000, 1.0000000000, -0.0187501909, 3, time: 4
0.1000000000, 1.0000000000, -0.0155012324, 3, time: 5
0.1100000000, 1.0000000000, -0.0124310520, 3, time: 4
0.1200000000, 1.0000000000, -0.0095434279, 3, time: 5
0.1300000000, 1.0000000000, -0.0068433454, 3, time: 5
0.1400000000, 1.0000000000, -0.0043375877, 3, time: 5
0.1500000000, 1.0000000000, -0.0020358138, 3, time: 5
0.1600000000, 1.0000000000, 0.0000472028, 3, time: 5
0.1700000000, 1.0000000000, 0.0018857358, 3, time: 6
0.1800000000, 1.0000000000, 0.0034178315, 3, time: 7
0.1900000000, 1.0000000000, 0.0000000016, 3, time: 15
0.2000000000, 1.0000000000, 0.0000000016, 1, time: 0
0.2100000000, 1.0000000000, 0.0000000016, 1, time: 0
0.2200000000, 1.0000000000, 0.0000000016, 1, time: 0
0.2300000000, 1.0000000000, 0.0000000016, 1, time: 0
0.2400000000, 1.0000000000, 0.0000000015, 1, time: 0
0.2500000000, 1.0000000000, 0.0000000015, 1, time: 0

starting calculations for phase 5
-0.1000000000, 1.0000000000, -0.1097596190, 5, time: 15
-0.1100000000, 1.0000000000, -0.1162608618, 2, time: 3
-0.1200000000, 1.0000000000, -0.1229280288, 2, time: 3
-0.1300000000, 1.0000000000, -0.1297614102, 2, time: 4
-0.1400000000, 1.0000000000, -0.1367613147, 2, time: 4
-0.1500000000, 1.0000000000, -0.1439280671, 2, time: 4
-0.1600000000, 1.0000000000, -0.1512620122, 4, time: 4
-0.1700000000, 1.0000000000, -0.1587634930, 2, time: 3
-0.1800000000, 1.0000000000, -0.1664328899, 2, time: 4
-0.1900000000, 1.0000000000, -0.1742705691, 4, time: 5
-0.2000000000, 1.0000000000, -0.1822769146, 4, time: 5
-0.2100000000, 1.0000000000, -0.1904523199, 3, time: 5
-0.2200000000, 1.0000000000, -0.1987971866, 3, time: 5
-0.2300000000, 1.0000000000, -0.2073119162, 3, time: 5
-0.2400000000, 1.0000000000, -0.2159969224, 3, time: 5
-0.2500000000, 1.0000000000, -0.2248526220, 3, time: 5
-0.2600000000, 1.0000000000, -0.2338794306, 3, time: 5
-0.2700000000, 1.0000000000, -0.2430777729, 6, time: 6
-0.2800000000, 1.0000000000, -0.2524480770, 5, time: 16
-0.2900000000, 1.0000000000, -0.2619907662, 3, time: 5
-0.3000000000, 1.0000000000, -0.2717062731, 3, time: 5
-0.3100000000, 1.0000000000, -0.2815950306, 3, time: 5
-0.3200000000, 1.0000000000, -0.2916574682, 5, time: 6
-0.3300000000, 1.0000000000, -0.3018940227, 5, time: 12
-0.3400000000, 1.0000000000, -0.3123051279, 6, time: 16
-0.3500000000, 1.0000000000, -0.3228912157, 5, time: 9
-0.3600000000, 1.0000000000, -0.3336527214, 4, time: 8
-0.3700000000, 1.0000000000, -0.3445900849, 6, time: 8
-0.3800000000, 1.0000000000, -0.3557037335, 3, time: 6
-0.3900000000, 1.0000000000, -0.3669941039, 4, time: 8

starting calculations for phase 5
-0.1000000000, 1.0000000000, -0.1097596190, 5, time: 15
-0.0900000000, 1.0000000000, -0.1034240312, 3, time: 3
-0.0800000000, 1.0000000000, -0.0972538548, 3, time: 2
-0.0700000000, 1.0000000000, -0.0912488721, 2, time: 2
-0.0600000000, 1.0000000000, -0.0854088978, 2, time: 2
-0.0500000000, 1.0000000000, -0.0797337821, 2, time: 2
-0.0400000000, 1.0000000000, -0.0742234148, 2, time: 2
