
starting calculations for phase 1
-0.4000000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3900000000, 1.0000000000, Maximum iterations reached in field optimization, time: 17
-0.3800000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3700000000, 1.0000000000, Maximum iterations reached in field optimization, time: 8
-0.3600000000, 1.0000000000, Maximum iterations reached in field optimization, time: 7
-0.3500000000, 1.0000000000, Maximum iterations reached in field optimization, time: 7
-0.3400000000, 1.0000000000, Maximum iterations reached in field optimization, time: 10
-0.3300000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3200000000, 1.0000000000, Maximum iterations reached in field optimization, time: 4
-0.3100000000, 1.0000000000, Maximum iterations reached in field optimization, time: 4
-0.3000000000, 1.0000000000, maximum iterations reached, time: 31
-0.2900000000, 1.0000000000, maximum iterations reached, time: 23
-0.2800000000, 1.0000000000, maximum iterations reached, time: 17
0.1700000000, 1.0000000000, 0.0000000003, 1, time: 0
0.1800000000, 1.0000000000, 0.0000000003, 1, time: 0
0.1900000000, 1.0000000000, 0.0000000003, 1, time: 0
0.2000000000, 1.0000000000, 0.0000000003, 1, time: 0

starting calculations for phase 4
-0.1000000000, 1.0000000000, -0.1126347052, 4, time: 14
-0.1100000000, 1.0000000000, -0.1192403777, 3, time: 4
-0.1200000000, 1.0000000000, -0.1260129299, 3, time: 4
-0.1300000000, 1.0000000000, -0.1329526325, 3, time: 5
-0.1400000000, 1.0000000000, -0.1400597726, 3, time: 5
-0.1500000000, 1.0000000000, -0.1473346556, 3, time: 5
-0.1600000000, 1.0000000000, -0.1547776003, 3, time: 4
-0.1700000000, 1.0000000000, -0.1623889394, 3, time: 4
-0.1800000000, 1.0000000000, -0.1701690181, 3, time: 4
-0.1900000000, 1.0000000000, -0.1781181899, 3, time: 4
-0.2000000000, 1.0000000000, -0.1862368217, 4, time: 5
-0.2100000000, 1.0000000000, -0.1945252829, 4, time: 5
-0.2200000000, 1.0000000000, -0.2029839544, 4, time: 5
-0.2300000000, 1.0000000000, -0.2116132221, 4, time: 5
-0.2400000000, 1.0000000000, -0.2204134772, 3, time: 4
-0.2500000000, 1.0000000000, -0.2293851163, 3, time: 4
-0.2600000000, 1.0000000000, -0.2385285420, 5, time: 6
-0.2700000000, 1.0000000000, -0.2478441586, 3, time: 5
-0.2800000000, 1.0000000000, -0.2573323774, 3, time: 5
-0.2900000000, 1.0000000000, -0.2669936027, 3, time: 5
-0.3000000000, 1.0000000000, -0.2768282510, 3, time: 5
-0.3100000000, 1.0000000000, -0.2868367369, 5, time: 6
-0.3200000000, 1.0000000000, -0.2970194782, 3, time: 4
-0.3300000000, 1.0000000000, -0.3073768968, 3, time: 5
-0.3400000000, 1.0000000000, -0.3179094068, 3, time: 5
-0.3500000000, 1.0000000000, -0.3286174249, 3, time: 5
-0.3600000000, 1.0000000000, -0.3395013889, 3, time: 6
-0.3700000000, 1.0000000000, -0.3505617034, 3, time: 5
-0.3800000000, 1.0000000000, -0.3617987989, 3, time: 5
-0.3900000000, 1.0000000000, -0.3732130922, 3, time: 5

starting calculations for phase 4
-0.1000000000, 1.0000000000, -0.1126347052, 4, time: 13
-0.0900000000, 1.0000000000, -0.1061956691, 3, time: 4
-0.0800000000, 1.0000000000, -0.0999230405, 2, time: 3
-0.0700000000, 1.0000000000, -0.0938166320, 2, time: 3
